申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明
買賣,土地,1,0,,,,,有,,"1,987,400",,,,無,1111007,,鹽埕區,鹽中段,17.3,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,,無建物主要用途資料,無建物主要建材,,,,,,,鹽中段 28-0 地號,鹽埕區,鹽中段,280000,,0401.未登記建物
買賣,房地(土地+建物),1,1,,1,1,1,有,華廈(10層含以下有電梯),"1,800,000",,,,有,1111028,"本標的電梯目前討論修繕中,賣方補貼買方25000元,之後修繕由買方負責",鹽埕區,大智段,7.94,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,50.72,住家用,鋼筋混凝土造,6,780523,33,五層;,,,新樂街79之1號五樓之1,鹽埕區,大智段,4850000,2116000,
買賣,房地(土地+建物),2,1,,1,1,1,有,華廈(10層含以下有電梯),"1,760,000",,,,無,1111209,,鹽埕區,大榮段,4.35,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,36.8,無建物主要用途資料,鋼筋混凝土造,10,700930,41,七層;,,,大智路101號7樓之4,鹽埕區,大榮段,430000,442000,
買賣,房地(土地+建物),1,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"1,700,000",,,,有,1110914,,鹽埕區,鹽國段,3.31,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,29.46,無建物主要用途資料,鋼筋混凝土造,12,710630,40,九層;,,,大勇路65號9樓之2,鹽埕區,鹽國段,5220000,297000,
買賣,建物,0,1,,3,1,1,有,住宅大樓(11層含以上有電梯),"1,640,000",,,,有,1111022,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,90.51,無建物主要用途資料,鋼筋混凝土造,16,750217,37,十二層;,,,七賢三路269號12樓之11,鹽埕區,鹽壽段,,722000,0602.地上權房屋
買賣,房地(土地+建物),1,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"1,620,000",,,,有,1111003,,鹽埕區,鹽國段,3.31,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,29.46,無建物主要用途資料,鋼筋混凝土造,12,710630,40,十二層;,,,大勇路65號12樓之2,鹽埕區,鹽國段,5220000,279000,
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,600,000",,,,有,1110923,,鹽埕區,府北段五小段,3.06,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,34.13,無建物主要用途資料,鋼筋混凝土造,12,691117,42,十層;,,,府北路20號10樓之16,鹽埕區,府北段五小段,1890000,639000,
買賣,房地(土地+建物),1,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"1,550,000",,,,有,1111018,房屋以現況點交，屋主不負滲漏水等瑕疵擔保責任,鹽埕區,鹽新段,2.76,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,29.48,無建物主要用途資料,鋼筋混凝土造,12,720523,,六層;,,,莒光街219號6樓之10,鹽埕區,鹽新段,1940000,340000,
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"1,540,000",,,,有,1111220,,鹽埕區,鹽壽段,5.46,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,51.19,無建物主要用途資料,鋼筋混凝土造,12,730324,39,九層;,,,七賢三路213號9樓之4,鹽埕區,鹽壽段,1480000,153000,
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"1,500,000",,,,有,1111129,,鹽埕區,鹽壽段,5.46,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,51.19,無建物主要用途資料,鋼筋混凝土造,12,730324,39,九層;,,,七賢三路213號9樓之4,鹽埕區,鹽壽段,1480000,153000,
買賣,建物,0,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"1,450,000",,,,有,1111103,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,50.08,無建物主要用途資料,鋼筋混凝土造,16,750217,37,十層;,,,七賢三路269號10樓之40,鹽埕區,鹽壽段,,592000,0602.地上權房屋
買賣,土地,2,0,,,,,有,,"1,328,793",,,,無,1111109,,鹽埕區,鹽國段,48.5,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,,無建物主要用途資料,無建物主要建材,,,,,,,鹽國段 272-0 地號,鹽埕區,鹽國段,2720000,,0604.(包含)公共設施保留地(用地)
買賣,建物,0,1,,,,,無,透天厝,"1,250,000",,,,無,1110913,,鹽埕區,大成段,,-,無使用分區資料,無土地編定使用地類別資料,69.91,無建物主要用途資料,加強磚造,2,570829,54,一層;二層;,,,五福四路63巷41、43號,鹽埕區,大成段,,500000,
買賣,土地,1,0,,,,,有,,"1,185,600",,,,無,1111003,,鹽埕區,鹽中段,10.38,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,,無建物主要用途資料,無建物主要建材,,,,,,,鹽中段 28-0 地號,鹽埕區,鹽中段,280000,,0401.未登記建物
買賣,建物,0,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,150,000",,,,有,1111028,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,36.72,無建物主要用途資料,鋼筋混凝土造,16,750217,37,十二層;,,,七賢三路269號12樓之22,鹽埕區,鹽壽段,,733000,0102.傢俱設備費
買賣,建物,0,1,,3,3,3,有,透天厝,"1,100,000",,,,無,1110913,,鹽埕區,大成段,,-,無使用分區資料,無土地編定使用地類別資料,29.6,住家用,加強磚造,2,570820,54,一層;二層;,,,五福四路63巷56號,鹽埕區,大成段,,534000,0201.親友、員工、共有人或其他特殊關係間之交易
買賣,建物,0,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"1,060,000",,,,有,1111202,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,38.51,無建物主要用途資料,鋼筋混凝土造,16,750217,37,十四層;,,,七賢三路269號14樓之8,鹽埕區,鹽壽段,,960000,
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,020,000",,,,有,1110925,,鹽埕區,府北段五小段,2.69,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,30.71,無建物主要用途資料,鋼筋混凝土造,12,701124,41,四層;,,,府北路25號4樓之19,鹽埕區,府北段五小段,2210000,1254000,
買賣,房地(土地+建物),2,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,000,000",,,,有,1111026,,鹽埕區,府北段五小段,2.96,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,34.41,無建物主要用途資料,鋼筋混凝土造,12,701124,41,六層;,,,府北路25號6樓之26,鹽埕區,府北段五小段,2210000,1207000,
買賣,房地(土地+建物),1,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"1,000,000",,,,有,1111011,,鹽埕區,鹽新段,3.26,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,34.54,無建物主要用途資料,鋼筋混凝土造,12,720523,39,十層;,,,莒光街219號10樓之5,鹽埕區,鹽新段,1940000,400000,
